,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hilo,19.7297,-155.09,72.0,83,90,4.61,US,1614470051
1,Rikitea,-23.1203,-134.9692,76.6,75,6,16.31,PF,1614470051
2,Faya,18.3851,42.4509,55.4,62,0,11.5,SA,1614470051
3,Barrow,71.2906,-156.7887,-14.8,70,20,9.22,US,1614470051
4,Punta Arenas,-53.15,-70.9167,73.4,33,0,8.05,CL,1614470051
5,Mataura,-46.1927,168.8643,63.0,85,100,3.0,NZ,1614470052
6,Khovd,48.0056,91.6419,2.89,34,13,1.57,MN,1614470052
7,Constitución,-35.3333,-72.4167,61.0,75,3,16.08,CL,1614470052
8,Hermanus,-34.4187,19.2345,70.0,80,38,7.0,ZA,1614470052
9,Hobart,-42.8794,147.3294,69.01,63,75,6.91,AU,1614470052
10,Tateyama,34.9833,139.8667,44.01,37,42,1.01,JP,1614470053
11,At-Bashi,41.1702,75.8106,-0.13,76,28,2.48,KG,1614469881
12,Ushuaia,-54.8,-68.3,75.2,27,0,11.5,AR,1614469959
13,Makakilo City,21.3469,-158.0858,78.8,65,75,9.22,US,1614470053
14,Ponta do Sol,32.6667,-17.1,55.99,67,26,5.01,PT,1614470053
15,Richards Bay,-28.783,32.0377,68.49,82,71,1.41,ZA,1614469897
16,Bredasdorp,-34.5322,20.0403,69.8,83,69,12.66,ZA,1614470054
17,Muisne,0.6,-80.0333,78.57,81,34,4.07,EC,1614470054
18,Iquitos,-3.7481,-73.2472,78.8,89,75,4.61,PE,1614470054
19,Krasnosel'kup,65.7,82.4667,-31.92,98,0,5.03,RU,1614470054
20,Abhā,18.2164,42.5053,55.4,62,0,11.5,SA,1614470055
21,San Patricio,28.017,-97.5169,75.2,83,90,21.85,US,1614470055
22,Alofi,-19.0595,-169.9187,82.4,78,100,12.66,NU,1614470055
23,Albany,42.6001,-73.9662,42.01,64,68,8.03,US,1614470055
24,Corrientes,-27.4806,-58.8341,87.8,48,0,5.75,AR,1614470056
25,Qaanaaq,77.484,-69.3632,14.85,80,100,8.3,GL,1614470056
26,Kapaa,22.0752,-159.319,71.6,88,90,19.57,US,1614470056
27,Saskylakh,71.9167,114.0833,-28.84,76,39,2.06,RU,1614470056
28,Lagoa,39.05,-27.9833,58.86,86,97,13.24,PT,1614470057
29,Avarua,-21.2078,-159.775,84.2,84,75,19.57,CK,1614470057
30,Kishanpur,25.65,81.0167,68.56,32,23,1.14,IN,1614470057
31,Bengkulu,-3.8004,102.2655,76.6,75,18,3.27,ID,1614470057
32,Jamestown,42.097,-79.2353,34.0,97,40,3.69,US,1614469926
33,Vaini,-21.2,-175.2,80.6,74,75,3.44,TO,1614470058
34,Iqaluit,63.7506,-68.5145,-25.01,62,40,6.4,CA,1614470058
35,Bethel,41.3712,-73.414,42.01,89,97,1.99,US,1614469953
36,Yulara,-25.2406,130.9889,80.6,17,0,6.91,AU,1614470058
37,Busselton,-33.65,115.3333,64.0,80,51,1.99,AU,1614470058
38,Gao,16.6362,1.637,69.57,19,7,4.45,ML,1614470059
39,El Tigre,8.8875,-64.2454,78.62,59,59,16.89,VE,1614470059
40,Behbahān,30.5959,50.2417,44.6,70,0,2.33,IR,1614470059
41,Shetpe,44.1667,52.1167,36.05,92,48,15.08,KZ,1614470059
42,East London,-33.0153,27.9116,70.25,85,59,12.06,ZA,1614470060
43,Vila Franca do Campo,37.7167,-25.4333,60.01,88,20,2.3,PT,1614470060
44,Nizhneangarsk,55.7833,109.55,-18.11,72,95,4.85,RU,1614470060
45,Sheltozero,61.3667,35.3667,24.31,94,98,2.62,RU,1614470060
46,Kabompo,-13.5927,24.2008,65.57,93,100,1.32,ZM,1614470060
47,George Town,5.4112,100.3354,78.01,88,20,2.3,MY,1614470061
48,Srednekolymsk,67.45,153.6833,-24.7,85,21,2.15,RU,1614470061
49,Dingle,10.9995,122.6711,81.34,80,0,7.43,PH,1614470061
50,New Norfolk,-42.7826,147.0587,69.01,45,43,1.01,AU,1614470061
51,Kavieng,-2.5744,150.7967,83.5,76,95,9.4,PG,1614470062
52,Mayo,38.8876,-76.5119,48.0,87,1,6.31,US,1614470062
53,Vila do Maio,15.1333,-23.2167,68.0,73,75,20.71,CV,1614470062
54,Payo,-3.7508,103.6372,72.95,92,23,1.59,ID,1614470062
55,Yellowknife,62.456,-114.3525,-22.0,52,1,10.36,CA,1614470063
56,Oruzgan,32.8333,66.0,36.99,76,0,1.39,AF,1614470063
57,Torquay,50.4638,-3.5143,44.01,87,0,5.99,GB,1614470063
58,Kazanskaya,45.4106,40.4361,40.19,93,100,14.2,RU,1614470064
59,Provideniya,64.3833,-173.3,-0.4,60,0,2.24,RU,1614470064
60,Salina Cruz,16.1667,-95.2,82.04,63,0,10.0,MX,1614469887
61,Ilulissat,69.2167,-51.1,10.4,85,75,10.36,GL,1614470064
62,Castro,-24.7911,-50.0119,62.51,96,63,11.45,BR,1614470064
63,Salinas,36.6777,-121.6555,64.4,34,1,12.66,US,1614469860
64,Hay River,60.8156,-115.7999,-16.6,58,84,5.75,CA,1614470065
65,Baculin,7.4525,126.5842,83.1,68,87,4.59,PH,1614470065
66,Sungai Penuh,-2.0833,101.3833,65.43,87,13,3.22,ID,1614470065
67,Erzin,36.9559,36.2,48.99,71,0,7.0,TR,1614470066
68,Kumluca,36.3703,30.2869,55.74,62,0,3.42,TR,1614470066
69,Rio Tuba,8.5061,117.4317,81.05,80,3,8.99,PH,1614470066
70,Chumikan,54.7183,135.315,-0.36,92,100,9.69,RU,1614470066
71,Hong Kong,22.2855,114.1577,68.0,86,89,1.01,HK,1614469923
72,Cape Town,-33.9258,18.4232,70.0,68,0,8.05,ZA,1614470067
73,Haines Junction,60.7522,-137.5108,28.4,54,100,1.14,CA,1614470067
74,Cabo San Lucas,22.8909,-109.9124,73.4,68,90,10.36,MX,1614470067
75,Teya,60.3778,92.6267,-15.79,84,100,6.06,RU,1614470068
76,Leningradskiy,69.3833,178.4167,-11.67,88,100,7.34,RU,1614470068
77,Paamiut,61.994,-49.6678,14.11,89,47,10.09,GL,1614470068
78,Atuona,-9.8,-139.0333,80.29,78,29,12.97,PF,1614470068
79,Bluff,-46.6,168.3333,63.0,85,100,3.0,NZ,1614470068
80,Elizabeth City,36.2946,-76.2511,64.4,72,1,5.75,US,1614470069
81,Cartagena,10.3997,-75.5144,80.6,78,20,10.36,CO,1614470069
82,Portland,45.5234,-122.6762,51.8,43,75,10.36,US,1614469680
83,Kuytun,54.3419,101.5036,-13.49,89,100,2.73,RU,1614470069
84,Bandarbeyla,9.4942,50.8122,75.96,77,28,14.58,SO,1614470069
85,Frederiksværk,55.9707,12.0225,41.0,100,27,14.07,DK,1614470070
86,Saint-Philippe,-21.3585,55.7679,77.0,65,0,5.75,RE,1614470070
87,Nālūt,30.3333,10.85,51.8,44,0,10.74,LY,1614470070
88,Faanui,-16.4833,-151.75,83.48,71,0,9.48,PF,1614470070
89,Pemba,-12.974,40.5178,76.26,84,99,6.71,MZ,1614470071
90,Ribeira Grande,38.5167,-28.7,60.53,82,97,21.5,PT,1614470071
91,Huicheng,23.0385,116.2899,62.6,82,75,4.47,CN,1614470071
92,Dikson,73.5069,80.5464,-13.45,89,100,20.27,RU,1614470072
93,Kajiado,-1.8524,36.7768,62.31,57,23,8.37,KE,1614470072
94,Bowen,-20.0167,148.2333,77.0,94,75,6.91,AU,1614470072
95,Hithadhoo,-0.6,73.0833,82.36,63,93,6.06,MV,1614470072
96,Nizhniy Tsasuchey,50.5167,115.1333,-11.67,83,0,7.29,RU,1614470072
97,Kumul,42.8,93.45,23.92,69,85,4.94,CN,1614470073
98,Brae,60.3964,-1.353,44.6,93,44,19.57,GB,1614470073
99,Touros,-5.1989,-35.4608,78.8,89,40,4.61,BR,1614470073
100,Puerto Ayora,-0.7393,-90.3518,80.01,91,94,3.0,EC,1614470073
101,Vostok,46.4856,135.8833,24.28,96,100,10.87,RU,1614470073
102,Vaitape,-16.5167,-151.75,83.5,71,2,9.48,PF,1614470074
103,Ancud,-41.8697,-73.8203,59.0,77,90,5.75,CL,1614470074
104,Bambanglipuro,-7.95,110.2833,79.23,81,100,4.72,ID,1614470074
105,Cherskiy,68.75,161.3,-22.67,85,45,0.98,RU,1614470074
106,Den Helder,52.9599,4.7593,36.0,100,90,1.14,NL,1614470075
107,Mar del Plata,-38.0023,-57.5575,70.0,88,75,13.8,AR,1614470075
108,Comodoro Rivadavia,-45.8667,-67.5,64.4,88,40,5.75,AR,1614470075
109,Kruisfontein,-34.0033,24.7314,69.01,88,59,4.0,ZA,1614470075
110,Atambua,-9.1061,124.8925,77.13,80,54,2.35,ID,1614470076
111,Stolin,51.8912,26.846,32.22,87,97,8.72,BY,1614470076
112,Tuktoyaktuk,69.4541,-133.0374,-27.4,68,40,5.75,CA,1614470076
113,Wanaka,-44.7,169.15,72.0,57,55,4.85,NZ,1614470076
114,Galle,6.0367,80.217,74.98,84,26,4.18,LK,1614470077
115,Cidreira,-30.1811,-50.2056,74.55,77,5,19.91,BR,1614470077
116,Henties Bay,-22.116,14.2845,64.0,88,13,5.99,NA,1614470077
117,Tautira,-17.7333,-149.15,84.2,70,40,13.8,PF,1614470077
118,Mahébourg,-20.4081,57.7,77.0,83,75,7.02,MU,1614470077
119,Kieta,-6.2167,155.6333,81.12,84,100,8.37,PG,1614470078
120,Tiznit Province,29.5833,-9.5,51.37,81,60,3.94,MA,1614470078
121,Upernavik,72.7868,-56.1549,5.09,92,100,21.65,GL,1614470078
122,Airai,-8.9266,125.4092,65.43,98,59,2.06,TL,1614470078
123,Nemuro,43.3236,145.575,21.2,73,0,12.66,JP,1614470078
124,Belmonte,-15.8631,-38.8828,73.4,88,40,8.05,BR,1614470079
125,Chui,-33.6971,-53.4616,70.63,79,0,12.84,UY,1614470079
126,Clyde River,70.4692,-68.5914,-13.0,70,40,8.05,CA,1614470079
127,Goundi,9.3627,17.366,78.06,20,0,3.98,TD,1614470079
128,Mineiros,-17.5694,-52.5511,68.79,91,23,4.63,BR,1614469935
129,Lillooet,50.6856,-121.942,42.8,49,1,16.11,CA,1614470079
130,Esperance,-33.8667,121.9,62.6,94,40,10.36,AU,1614470080
131,Kudahuvadhoo,2.6708,72.8944,81.1,65,40,2.93,MV,1614470080
132,Talnakh,69.4865,88.3972,-31.94,79,7,5.48,RU,1614470080
133,Opuwo,-18.0607,13.84,67.33,59,68,0.74,NA,1614470080
134,Lebu,-37.6167,-73.65,58.42,82,9,17.25,CL,1614470081
135,Port Elizabeth,-33.918,25.5701,69.8,88,90,9.22,ZA,1614470081
136,Chokurdakh,70.6333,147.9167,-25.1,87,69,1.57,RU,1614470081
137,Neuquén,-38.9516,-68.0591,89.6,43,0,3.44,AR,1614470081
138,Arraial do Cabo,-22.9661,-42.0278,77.63,85,100,18.95,BR,1614470082
139,Sambava,-14.2667,50.1667,77.11,87,93,6.24,MG,1614470082
140,La Ronge,55.1001,-105.2842,3.2,72,100,2.3,CA,1614470082
141,Melfi,40.9965,15.6514,44.6,70,0,11.5,IT,1614470082
142,Charlestown,-32.95,151.6667,78.01,87,49,2.55,AU,1614470083
143,Nanortalik,60.1432,-45.2371,20.62,90,68,10.36,GL,1614470083
144,Ketchikan,55.3422,-131.6461,35.6,100,90,12.66,US,1614470083
145,Wainwright,52.839,-110.8572,14.0,62,52,8.05,CA,1614470083
146,Athabasca,54.7169,-113.2854,14.0,62,87,4.61,CA,1614470084
147,Aden,12.7794,45.0367,77.07,76,0,11.95,YE,1614470084
148,Broome,42.2506,-75.833,42.8,65,1,5.75,US,1614470084
149,Coyhaique,-45.5752,-72.0662,54.86,81,59,6.96,CL,1614470084
150,Kaeo,-35.1,173.7833,73.99,70,23,5.01,NZ,1614470084
151,Feijó,-8.1642,-70.3536,75.16,96,84,2.21,BR,1614470085
152,Makkah al Mukarramah,21.4267,39.8261,69.96,71,15,0.4,SA,1614470085
153,Grindavik,63.8424,-22.4338,41.0,75,75,31.07,IS,1614470085
154,Ahipara,-35.1667,173.1667,72.99,61,40,6.93,NZ,1614470085
155,Belaya Gora,68.5333,146.4167,-26.48,86,99,0.96,RU,1614470085
156,Tocopilla,-22.092,-70.1979,70.3,76,19,4.29,CL,1614470085
157,Mareeba,-17.0,145.4333,82.99,78,100,4.61,AU,1614470086
158,Nikolskoye,59.7035,30.7861,33.01,86,0,6.71,RU,1614470086
159,Thompson,55.7435,-97.8558,-4.0,41,75,10.36,CA,1614469802
160,Along,28.1667,94.7667,60.1,84,97,3.02,IN,1614470086
161,Maroantsetra,-15.4333,49.7333,75.27,88,93,3.53,MG,1614470087
162,Ponta Delgada,37.7333,-25.6667,60.01,88,20,2.3,PT,1614470087
163,Santa Maria,-29.6842,-53.8069,77.0,73,0,11.5,BR,1614470087
164,Tiksi,71.6872,128.8694,-28.21,86,63,2.51,RU,1614470088
165,Isangel,-19.55,169.2667,82.0,71,100,13.44,VU,1614470088
166,Torbay,47.6666,-52.7314,21.99,63,75,11.5,CA,1614470088
167,Puerto Madryn,-42.7692,-65.0385,76.35,46,90,24.11,AR,1614470088
168,Labuhan,-6.8844,112.2051,76.39,85,96,5.82,ID,1614470089
169,Dudinka,69.4058,86.1778,-34.06,81,0,6.58,RU,1614470089
170,Longyearbyen,78.2186,15.6401,19.4,68,75,10.36,SJ,1614470089
171,Blackwater,-23.5833,148.8833,82.67,62,100,12.82,AU,1614470089
172,Hambantota,6.1241,81.1185,76.64,85,31,5.37,LK,1614470089
173,Bataiporã,-22.2953,-53.2711,71.11,94,2,5.06,BR,1614470090
174,Mossamedes,-15.1961,12.1522,68.41,79,63,2.21,AO,1614470090
175,Pangnirtung,66.1451,-65.7125,-31.97,77,95,0.6,CA,1614470090
176,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,89.01,47,3,4.0,AR,1614470090
177,Mount Gambier,-37.8333,140.7667,59.0,82,99,6.91,AU,1614470091
178,Menongue,-14.6585,17.691,61.7,94,53,3.62,AO,1614470091
179,Klaksvík,62.2266,-6.589,46.4,87,90,14.97,FO,1614470091
180,São João da Barra,-21.6403,-41.0511,76.68,88,92,10.29,BR,1614470091
181,Buin,-33.7333,-70.75,82.4,42,0,5.75,CL,1614470092
182,Tyrma,50.0833,132.1667,6.39,90,100,10.0,RU,1614470092
183,Nantucket,41.2835,-70.0995,46.99,100,90,11.5,US,1614470069
184,Alice Springs,-23.7,133.8833,87.01,16,0,3.44,AU,1614470093
185,Sur,22.5667,59.5289,68.97,66,0,7.18,OM,1614469993
186,Lao Cai,22.4833,103.95,64.29,92,95,1.92,VN,1614470093
187,Saldanha,-33.0117,17.9442,73.4,53,0,4.61,ZA,1614470093
188,Tuy Hoa,13.0833,109.3,74.95,92,55,2.91,VN,1614470093
189,Vung Tau,10.346,107.0843,78.13,82,1,15.55,VN,1614469992
190,Norman Wells,65.282,-126.8329,-14.8,58,20,14.97,CA,1614470093
191,Carnarvon,-24.8667,113.6333,73.4,83,75,13.8,AU,1614469926
192,Ojinaga,29.5667,-104.4167,82.4,7,1,6.91,MX,1614470094
193,Kifrī,34.6959,44.9661,49.77,50,0,1.97,IQ,1614470094
194,Laguna,38.421,-121.4238,63.0,23,1,18.41,US,1614470094
195,Seoul,37.5683,126.9778,41.0,56,0,3.44,KR,1614469910
196,Kulmbach,50.1,11.45,34.0,78,17,4.36,DE,1614470094
197,Saint Paul Harbor,57.79,-152.4072,39.2,87,90,3.44,US,1614470095
198,Vadodara,22.3,73.2,71.6,45,0,4.29,IN,1614470095
199,Kemijärvi,66.7131,27.4306,25.93,98,100,4.52,FI,1614470095
200,Ţahţā,26.7693,31.5021,60.8,44,0,4.61,EG,1614470096
201,Bamako,12.65,-8.0,73.4,23,6,3.44,ML,1614469885
202,Davila,18.4726,120.5763,73.4,94,20,2.3,PH,1614470096
203,San Cristobal,7.7669,-72.225,73.4,100,75,4.61,VE,1614470096
204,Manzhouli,49.6,117.4333,-10.93,82,0,11.16,CN,1614470097
205,Twentynine Palms,34.1356,-116.0542,66.0,15,1,6.91,US,1614470097
206,Kot Kapūra,30.5833,74.9,52.92,41,0,1.83,IN,1614470097
207,Pampas,-12.4,-74.9,51.48,80,98,1.9,PE,1614470097
208,Half Moon Bay,37.4636,-122.4286,60.01,71,1,19.57,US,1614470098
209,Kameoka,35.0,135.5833,48.0,78,98,6.13,JP,1614470098
210,Taltal,-25.4,-70.4833,66.49,81,31,3.44,CL,1614469820
211,Kushiro,42.975,144.3747,19.4,86,75,4.61,JP,1614470098
212,Adré,13.4667,22.2,67.77,25,0,9.64,TD,1614470099
213,Pisco,-13.7,-76.2167,77.0,65,0,9.22,PE,1614470066
214,Feuchtwangen,49.1667,10.3333,30.99,100,1,9.22,DE,1614470099
215,Constantine,36.365,6.6147,39.2,93,0,3.44,DZ,1614469924
216,Pasłęk,54.0616,19.6593,33.01,87,43,7.2,PL,1614470099
217,Shingū,33.7333,135.9833,51.8,62,75,5.75,JP,1614470100
218,Alegrete,-29.7831,-55.7919,78.76,56,37,13.91,BR,1614470100
219,Pangai,-19.8,-174.35,78.22,80,99,8.88,TO,1614470100
220,Preobrazheniye,42.9019,133.9064,34.38,88,89,11.07,RU,1614470100
221,Dobryatino,55.5055,41.3195,7.59,96,85,4.81,RU,1614470101
222,Zhalantun,48.0,122.7167,7.65,89,98,5.03,CN,1614470101
223,Sitka,57.0531,-135.33,42.8,81,90,11.5,US,1614470101
224,Bukachacha,52.9833,116.9167,-15.68,79,0,3.13,RU,1614470102
225,San Ignacio,17.1561,-89.0714,87.8,55,20,6.91,BZ,1614470102
226,Pincher Creek,49.4833,-113.952,24.8,58,1,6.91,CA,1614470102
227,Mahajanga,-15.7167,46.3167,77.0,94,40,4.61,MG,1614470103
228,College,64.8569,-147.8028,16.0,85,90,4.61,US,1614470103
229,Bambous Virieux,-20.3428,57.7575,77.0,83,75,6.35,MU,1614470104
230,Ballina,-28.8667,153.5667,80.6,69,75,4.61,AU,1614470104
231,Vila Velha,-20.3297,-40.2925,78.8,83,75,3.44,BR,1614470104
232,Bereda,43.2686,-7.5406,45.0,97,80,5.99,ES,1614470104
233,Tiarei,-17.5333,-149.3333,84.2,70,40,13.8,PF,1614470105
234,Tezu,27.9167,96.1667,66.25,48,69,4.38,IN,1614470105
235,Oddur,4.1213,43.8894,67.75,87,0,14.9,SO,1614470105
236,Acapulco de Juárez,16.8634,-99.8901,84.2,65,20,4.61,MX,1614469813
237,Wells,51.2079,-2.649,39.2,81,0,3.44,GB,1614470106
238,Lüderitz,-26.6481,15.1594,64.6,85,0,5.66,NA,1614470106
239,Port Alfred,-33.5906,26.891,71.01,92,52,3.0,ZA,1614470106
240,Talaya,61.3833,152.75,-21.19,83,83,0.38,RU,1614470107
241,Praia,14.9215,-23.5087,68.0,73,75,20.71,CV,1614470107
242,Cessnock,-32.8333,151.35,86.0,81,8,1.01,AU,1614470107
243,Luwuk,-0.9516,122.7875,83.1,66,98,2.15,ID,1614470107
244,Port Hardy,50.6996,-127.4199,39.2,93,90,11.5,CA,1614470107
245,Stokmarknes,68.5646,14.9108,43.0,88,93,8.01,NO,1614470108
246,Aasiaat,68.7098,-52.8699,3.65,93,88,7.81,GL,1614470108
247,Fuerte Olimpo,-21.0415,-57.8738,83.46,53,51,6.13,PY,1614470108
248,Pathein,16.7833,94.7333,68.47,93,0,4.76,MM,1614470108
249,Charters Towers,-20.1,146.2667,75.96,80,100,15.73,AU,1614470109
250,Zhigansk,66.7697,123.3711,-25.8,83,100,11.25,RU,1614470109
251,Tucumcari,35.1717,-103.725,68.0,5,1,23.02,US,1614470041
252,Port Lincoln,-34.7333,135.8667,65.77,70,41,10.51,AU,1614470109
253,Jiangyou,31.7667,104.7167,49.32,73,100,1.28,CN,1614470109
254,Lata,40.1629,-8.3327,57.0,93,20,2.3,PT,1614470110
255,Riverton,40.5219,-111.9391,32.0,74,40,4.61,US,1614469911
256,Coquimbo,-29.9533,-71.3436,62.6,82,0,8.05,CL,1614469996
257,Horishni Plavni,49.0097,33.6455,35.71,96,100,9.17,UA,1614470110
258,Tessalit,20.1986,1.0114,60.08,24,0,3.4,ML,1614470110
259,Innisfail,-17.5333,146.0333,78.93,88,100,10.29,AU,1614470111
260,Tasiilaq,65.6145,-37.6368,28.4,100,90,14.97,GL,1614470111
261,Saint George,37.1041,-113.5841,51.8,12,1,17.27,US,1614469861
262,Río Gallegos,-51.6226,-69.2181,68.0,60,40,9.22,AR,1614469825
263,Arys,42.4252,68.795,33.8,69,40,4.47,KZ,1614470111
264,Tsiroanomandidy,-18.7667,46.0333,67.73,93,100,1.99,MG,1614470111
265,Salalah,17.0151,54.0924,80.6,17,0,8.05,OM,1614470111
266,Doha,25.2867,51.5333,62.6,51,0,9.22,QA,1614470112
267,Mpwapwa,-6.35,36.4833,64.56,90,100,1.77,TZ,1614470112
268,Aykhal,66.0,111.5,-36.72,95,59,4.05,RU,1614470112
269,Loandjili,-4.7561,11.8578,80.6,89,40,8.05,CG,1614470112
270,Raisen,23.3333,77.8,67.21,39,1,3.09,IN,1614470112
271,Saint-François,46.4154,3.9054,39.99,80,0,2.48,FR,1614470113
272,Frontera,26.9333,-101.45,87.01,31,59,6.17,MX,1614469928
273,Meulaboh,4.1363,96.1285,77.72,80,62,1.07,ID,1614470113
274,Zheleznodorozhnyy,55.7503,38.0042,32.0,80,75,8.95,RU,1614470108
275,Megion,61.0296,76.1136,-16.6,76,0,4.47,RU,1614470114
276,Plácido de Castro,-10.3353,-67.1856,74.97,94,75,0.65,BR,1614470114
277,Souillac,-20.5167,57.5167,77.0,83,75,7.25,MU,1614470114
278,Makar'yev,57.8797,43.8069,-5.84,91,12,4.41,RU,1614470115
279,Atbasar,51.8,68.3333,13.89,94,100,14.38,KZ,1614470115
